Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Nympho The Lust Story,2020,104,"Drama, Romance, Thriller",5.3,31,Kumaar Aadarsh,Natasha Majhi,Mohnish Nawani,Vikhyat Swades
Harami,2020,100,"Crime, Drama, Romance",7.7,957,Shyam Madiraju,Emraan Hashmi,Rizwan Shaikh,Dhanshree Patil
Angrezi Medium,2020,145,"Comedy, Drama",7.3,"11,700",Homi Adajania,Irrfan Khan,Radhika Madan,Kareena Kapoor
Shuruaat Ka Twist,2019,142,Drama,6.6,9,Heena Dsouza,Avalokita Dutt,Praveen Fernandes,Hanish Kalia
Ujda Chaman,2019,120,Comedy,6.9,"4,944",Abhishek Pathak,Danish Singh,Navinder Pal Singh,Sunny Singh Nijjar
Cypher,2019,130,"Biography, Family",8.3,29,Sagar Pathak,Kirti Adarkar,Aarya Adhav,Arun Bali
The Sholay Girl,2019,106,"Action, Biography, Drama",7.7,92,Aditya Sarpotdar,Bidita Bag,Chandan Roy Sanyal,Vineet Raina
Tottaa Pataaka Item Maal,2019,107,Drama,7.6,"1,361",Aditya Kripalani,Ahmareen Anjum,Chitrangada Chakraborty,Sonal Joshi
The Sky Is Pink,2019,143,"Drama, Romance",7.6,"7,683",Shonali Bose,Priyanka Chopra Jonas,Farhan Akhtar,Zaira Wasim
The Tashkent Files,2019,134,"Drama, Mystery, Thriller",7.8,"9,579",Vivek Agnihotri,Shweta Basu Prasad,Mithun Chakraborty,Naseeruddin Shah
Time To Retaliate MASOOM,2019,113,Crime,5.4,19,Kumaar Aadarsh,Alia Khan Dar,Ritesh Raghuvanshi,Vriddhi Patwa
Chippa,2019,90,Drama,6.5,941,Safdar Rahman,Sunny Pawar,Mala Mukherjee,Surojit
Total Dhamaal,2019,130,"Action, Adventure, Comedy",4.2,"5,649",Indra Kumar,Ajay Devgn,Anil Kapoor,Madhuri Dixit
Article 15,2019,130,"Crime, Drama, Mystery",8.2,"25,706",Anubhav Sinha,Ayushmann Khurrana,Nassar,Manoj Pahwa
Commando 3,2019,133,"Action, Adventure, Thriller",5.7,"2,425",Aditya Datt,Vidyut Jammwal,Adah Sharma,Gulshan Devaiah
Arjun Patiala,2019,107,"Action, Comedy",4.3,"1,204",Rohit Jugraj,Diljit Dosanjh,Kriti Sanon,Varun Sharma
Chopsticks,2019,100,"Comedy, Drama",6.5,"4,293",Sachin Yardi,Abhay Deol,Mithila Palkar,Vijay Raaz
Chousar Firangi,2019,95,"Comedy, Drama",6.8,85,Sandeep Pandey,Prateek Pachauri,Rekha Mishra,Anudeep Singh
The Zoya Factor,2019,134,"Comedy, Drama, Romance",4.2,"2,119",Abhishek Sharma,Sonam Kapoor,Dulquer Salmaan,Sanjay Kapoor
Chicken Curry Law,2019,127,Drama,5.3,30,Shekhar Sirrinn,Natalia Janoszek,Ashutosh Rana,Makrand Deshpande
Baal Ki Khaal,2019,65,Comedy,7,20,Paresh Vinodray Savani,Samiksha Bhatnagar,Rishi Bhutani,Nilofar Gesawat
Chhota Bheem Kung Fu Dhamaka,2019,97,"Animation, Action, Adventure",5.2,119,Rajiv Chilaka,Binayak Das,Urvi Ashar,Asif Ali Beig
Bitter Chestnut,2019,100,Drama,7.1,27,Gurvinder Singh,Bhankheri Devi,Rani Devi,Gopi Katwal
The Body,2019,101,"Mystery, Thriller",5.4,"2,965",Jeethu Joseph,Emraan Hashmi,Rishi Kapoor,Sobhita Dhulipala
Bala,2019,133,Comedy,7.3,"12,370",Amar Kaushik,Ayushmann Khurrana,Bhumi Pednekar,Yami Gautam
Bombay Rose,2019,97,"Animation, Drama, Romance",6,480,Gitanjali Rao,Cyli Khare,Amit Deondi,Gargi Shitole
Bombairiya,2019,104,"Comedy, Crime, Drama",4.5,381,Pia Sukanya,Radhika Apte,Akshay Oberoi,Siddhant Kapoor
Student of the Year 2,2019,146,"Action, Comedy, Drama",2.2,"17,483",Punit Malhotra,Tiger Shroff,Ananya Panday,Tara Sutaria
Blank,2019,107,"Action, Thriller",6.2,933,Behzad Khambata,Sunny Deol,Karan Kapadia,Karanvir Sharma
Blackboard vs Whiteboard,2019,152,"Action, Family",5.4,43,Tarun s Bisht,Dharmendra,Alismita Goswami,Pankaj Jha
The Accidental Prime Minister,2019,112,"Biography, Drama",6,"6,373",Vijay Ratnakar Gutte,Anupam Kher,Akshaye Khanna,Suzanne Bernert
Thackeray,2019,120,"Biography, Drama",5.2,"3,005",Abhijit Panse,Nawazuddin Siddiqui,Amrita Rao,Radha Sagar
Chhichhore,2019,143,"Comedy, Drama",8.3,"38,581",Nitesh Tiwari,Sushant Singh Rajput,Shraddha Kapoor,Varun Sharma
Super 30,2019,154,"Biography, Drama",8,"23,000",Vikas Bahl,Hrithik Roshan,Mrunal Thakur,Nandish Singh
Barot House,2019,89,"Mystery, Thriller",7.3,"1,135",Bugs Bhargava Krishna,Amit Sadh,Manjari Fadnnis,Aaryan Menghji
Batla House,2019,146,"Action, Crime, Drama",7.2,"10,092",Nikkhil Advani,John Abraham,Nora Fatehi,Mrunal Thakur
Bharat,2019,150,"Action, Comedy, Drama",4.9,"22,598",Ali Abbas Zafar,Salman Khan,Katrina Kaif,Sunil Grover
Battalion 609,2019,131,War,2.8,101,Brijesh Batuknath Tripathi,Vicky Ahuja,Kumar Gautam,Karim Hajee
Tennis Buddies,2019,153,Drama,5.4,43,Sohail Tatari,Dakshita Patel,Madhu Anand Chandhock,Divya Dutta
Tarpan The Salvation,2019,104,Drama,8.1,31,Neelam r Singh,Vandana Asthana,Rahul Chahan,Poonam Ingle
Tara Mira,2019,120,Drama,7.3,31,Rajiev Dhingra,Ranjit Bawa,Nazia Hussain,Gurpreet Ghuggi
Bahattar Hoorain,2019,120,Comedy,8.8,23,Sanjay Puran Singh Chauhan,Narottam Bain,Aamir Bashir,Pawan Malhotra
The Elder One,2019,125,"Action, Crime, Drama",7.5,"1,707",Geethu Mohandas,Nivin Pauly,Shashank Arora,Sanjana Dipu
Bagpat Ka Dulha,2019,137,Drama,5.5,6,Karan Kashyap,Raza Murad,Puneet Vashisht,Lalit Parimoo
Badnaam Gali,2019,95,Comedy,7.1,805,Ashwin Shetty,Patralekhaa Paul,Divyendu Sharma,Dolly Ahluwalia
Chhappad Phaad Ke,2019,90,Drama,6.3,954,Sameer Joshi,Siddharth Menon,Vinay Pathak,Ayesha Raza
Axone,2019,104,"Comedy, Drama",7,"1,979",Nicholas Kharkongor,Sayani Gupta,Lin Laishram,Jimpa Bhutia
The Pickup Artist,2019,111,"Crime, Mystery, Thriller",8.7,85,Rohit Arora,Saasha Aery,Sidharth Bhardwaj,Anahita Bhooshan
Sindhustan,2019,64,"Documentary, Family, History",9.3,36,Sapna Bhavnani,Leila Advani,Laj Badlani,Chaho Bhara
Singham,2019,141,"Action, Drama",5.5,96,Navaniat Singh,Priyanka Arya,Sonam Bajwa,Kartar Cheema
Taking the Horse to Eat Jalebis,2019,121,Drama,6.1,50,Anamika Haksar,Ravindra Sahu,Raghuvir Yadav,Gopalan
The Lift Boy,2019,107,"Comedy, Drama",7.2,"2,375",Jonathan Augustin,Moin Khan,Nyla Masood,Sagar Kale
Chanakya,2019,147,"Action, Adventure, Thriller",5.5,521,Thiru,Mehreen Pirzada,Nassar,Zareen Khan
The Last Color,2019,90,Drama,7.9,778,Vikas Khanna,Anuj Tyagi,Vajid Ali,Ankita
Sonchiriya,2019,143,"Action, Crime, Drama",8.1,"9,572",Abhishek Chaubey,Sushant Singh Rajput,Bhumi Pednekar,Ashutosh Rana
The Himalayan Diaries,2019,80,"Comedy, Romance",8,9,Anjanikumar Tripathi,Nikita Sharma,Priyanshu Solanki,Mahesh Gahalot
Chai Coffee,2019,49,"Drama, Romance",7.9,11,Ayush Upadhyay,Ayush Upadhyay,Mansi Singh,Megha Jha
Cargo,2019,119,"Drama, Fantasy, Sci-Fi",5.7,"2,589",Arati Kadav,Vikrant Massey,Shweta Tripathi,Nandu Madhav
The Great Indian Escape,2019,117,"Adventure, Biography, Drama",7.1,39,Taranjiet Singh Namdhari,Raghav Rishi,Raaj Singh Arora,Asheesh Kapur
Badla,2019,118,"Crime, Drama, Mystery",7.8,"23,890",Sujoy Ghosh,Amitabh Bachchan,Taapsee Pannu,Amrita Singh
Cabaret,2019,95,"Drama, Musical, Thriller",3.4,175,Kaustav Narayan Niyogi,Akshay Anand,Richa Chadha,Gulshan Devaiah
Bypass Road,2019,137,"Drama, Mystery, Thriller",5.4,890,Naman Nitin Mukesh,Neil Nitin Mukesh,Adah Sharma,Gul Panag
Gadhvi He thought he was Gandhi,2019,109,Drama,7,8,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid
Ranj,2019,80,Drama,7.2,9,Sunit Sinha,Raju Kumar,Madhu Sagar,Kriti Sharma
DaawateBiryani,2019,89,Drama,7.1,22,Aditi Roy,Jayant Kripalani,Sauraseni Maitra,Suhasini Mulay
Jacqueline I Am Coming,2019,112,Drama,8.1,17,Banty Dubey,Raghuvir Yadav,Kiran D Patil,Shakti Kumar
Jwlwi  The Seed,2019,90,Drama,8,24,Rajni Basumatary,Raj Agnihotri,Mondeep Basumatary,Rajni Basumatary
Just Like That,2019,109,Drama,7.9,30,Kislay,Trimala Adhikari,Harish Khanna,Mohini Sharma
Moksh To Maya,2019,113,Thriller,4.2,45,Manoj Singh,Bidita Bag,Meghna Malik,Ehsan Khan
Junglee,2019,115,"Action, Adventure, Thriller",5.6,"1,658",Chuck Russell,Vidyut Jammwal,Lars Kjeldsen,Asha Bhat
Junction Varanasi,2019,149,Drama,3.7,22,Dheeraj Pandit,Dev Sharma,Anjali Abrol,Dheeraj Pandit
Judgementall Hai Kya,2019,121,"Comedy, Drama, Mystery",5.9,"5,419",Prakash Kovelamudi,Kangana Ranaut,Rajkummar Rao,Amyra Dastur
Josef  Born in Grace,2019,100,Drama,9,12,Susant Misra,Victor Banerjee,Subrat Dutta,Sudarshan Juyal
Mudda 370 JK,2019,132,"Action, Drama",8.6,699,Rakesh Sawant,Hiten Tejwani,Anjali Pandey,Manoj Joshi
Jhootha Kahin Ka,2019,133,Comedy,4.7,330,Smeep Kang,Rishi Kapoor,Jimmy Sheirgill,Sunny Singh Nijjar
Jhol,2019,112,"Comedy, Drama",8.2,42,Shakti,Alisha Farrer,Chetan Hansraj,Manisha Kelkar
Jhalki,2019,104,Drama,7.2,672,Brahmanand S. Singh,Tanvi Jain,Boman Irani,Tannishtha Chatterjee
Mushkil,2019,130,Horror,4.8,352,Rajiv S. Ruia,Pooja Bisht,Rajniesh Duggall,Nazia Hussain
Music Teacher,2019,101,"Drama, Romance",6.3,598,Sarthak Dasgupta,Neena Gupta,Divya Dutta,Manav Kaul
Jai Chhathi Maa,2019,141,Family,7.8,8,Murari Sinha,Preeti Jhangiani,Ravi Kishan,Gurleen Chopra
Jabariya Jodi,2019,125,"Action, Comedy, Drama",4.4,"1,317",Prashant Singh,Sidharth Malhotra,Parineeti Chopra,Javed Jaffrey
Kabir Singh,2019,173,"Action, Drama, Romance",7.1,"27,731",Sandeep Reddy Vanga,Shahid Kapoor,Kiara Advani,Nikita Dutta
Nirmal Anand Ki Puppy,2019,100,Drama,9.1,7,Sandeep Mohan,Karanveer,Gillian Pinto,Khushboo Upadhyay
Nirvana Inn,2019,95,Mystery,5.9,200,Vijay Jayapal,Adil Hussain,Rajshri Deshpande,Sandhya Mridul
Is She Raju,2019,155,Comedy,5,38,Rahul Kumar Shukla,Aditi Bhagat,Ansh Gupta,Amit Behl
Notebook,2019,115,"Drama, Romance",6.9,"2,253",Nitin Kakkar,Zaheer Iqbal,Pranutan Bahl,Mir Mohammed Mehroos
NTR Kathanayakudu,2019,169,"Biography, Drama",5.6,"1,866",Radha Krishna Jagarlamudi,Nandamuri Balakrishna,Vidya Balan,Satyanarayana Kaikala
Odd Couple,2019,117,Drama,8.2,13,Prashant Johari,Sumit Gulati,Suchitra Krishnamoorthi,Manoj Pahwa
Officer Arjun Singh IPS,2019,120,"Action, Drama",8,91,Arshad Siddiqui,Priyanshu Chatterjee,Raai Laxmi,Amit Misra
Indias Most Wanted,2019,123,"Action, Adventure, Thriller",4.5,"1,991",Raj Kumar Gupta,Arjun Kapoor,Sudev Nair,Rajesh Sharma
I Am Alone So Are You,2019,117,Romance,6.5,897,Harish Vyas,Anshuman Jha,Zareen Khan,Ravi Khanvilkar
Hyderabad Nawabs 2,2019,125,Comedy,5.2,27,Mama,Gullu Dada,Farha Khan,Aziz Naser
One Day Justice Delivered,2019,124,"Action, Crime, Thriller",5,"1,055",Ashok Nanda,Anupam Kher,Kumud Mishra,Esha Gupta
Hume Tumse Pyaar Kitna,2019,91,"Action, Drama, Romance",4.9,115,Lalit Mohan,Karanvir Bohra,Priya Banerjee,Mahesh Balraj
P Se Pyaar F Se Faraar,2019,131,"Crime, Drama, Romance",6.8,641,Manoj Shidheshwari Tiwari,Bhavesh Kumar,Jimmy Sheirgill,Kumud Mishra
Hum Chaar,2019,143,Drama,5.7,286,Abhishek Dixit,Prit Kamani,Simran Sharma,Anshuman Malhotra
Mission Mangal,2019,130,"Drama, History",6.5,"12,611",Jagan Shakti,Akshay Kumar,Vidya Balan,Taapsee Pannu
Kadakh,2019,108,"Comedy, Drama, Thriller",7,"1,381",Rajat Kapoor,Ranvir Shorey,Mansi Multani,Palomi Ghosh
Pagalpanti,2019,149,"Action, Comedy",3.2,"2,118",Anees Bazmee,Anil Kapoor,John Abraham,Ileana D'Cruz
Malaal,2019,136,"Action, Drama, Romance",6,850,Mangesh Hadawale,Meezaan Jafri,Sharmin Segal,Chinmayee Surve
Lohardaga,2019,120,Drama,7.8,8,Lal Vijay Shahdeo,Vijay Raaz,Sanjay Mishra,Akhilendra Mishra
Little Baby,2019,105,Family,8.6,"1,417",Shekhar S. Jha,Priyanshu Chatterjee,Gulnaz Siganporia,Aadi
Lihaaf The Quilt,2019,85,Drama,7.1,29,Rahat Kazmi,Tannishtha Chatterjee,Sonal Sehgal,Virendra Saxena
Life Mein Time Nahi Hai Kisi Ko,2019,119,"Comedy, Drama",7.1,23,Manoj Sharma,Rajniesh Duggall,Krishna Abhishek,Yuvika Chaudhary
Lorni  The Flaneur,2019,107,"Crime, Mystery",7,5,Wanphrang Diengdoh,Poonam Agarwal,Elizer Bareh,Deihokhlang Basaiawmoit
Last Chance The Moment I Finally Embraced the Futility of Existence,2019,74,"Comedy, Drama",8.8,10,Ronit Jadhav,Ronit Jadhav,Rohit D'Souza,Darshil Gandhi
Laal Kaptaan,2019,155,"Action, Adventure, Drama",7.3,"4,115",Navdeep Singh,Saif Ali Khan,Zoya Hussain,Manav Vij
Lucifer,2019,175,"Action, Crime, Drama",7.5,"8,210",Prithviraj Sukumaran,Mohanlal,Vivek Oberoi,Manju Warrier
Luka Chuppi,2019,126,"Comedy, Romance",6.3,"8,808",Laxman Utekar,Kartik Aaryan,Kriti Sanon,Aparshakti Khurana
LuvUTurn,2019,124,Romance,6.2,8,Harish Raut,Ruslaan Mumtaz,Adhvik Mahajan,Purva Rana
Kissebaaz,2019,122,"Action, Comedy, Crime",4.6,224,Annant Jaaitpaal,Pankaj Tripathi,Rahul Bagga,Anupriya Goenka
Kirket,2019,132,"Drama, Sport",7.5,270,Yogendra Singh,Kirti Azad,Sonam Chhabra,Sonu Jha
Made in China,2019,128,"Comedy, Drama",6.2,"3,845",Mikhil Musale,Rajkummar Rao,Boman Irani,Mouni Roy
Main Zaroor Aaunga,2019,100,"Horror, Thriller",4.1,47,Chandrakant Singh,Arbaaz Khan,Aindrita Ray,Vikas Verma
Yaaram,2019,110,"Comedy, Romance",4.4,35,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor
Kadke Kamal Ke,2019,136,Comedy,6.8,5,Laxman Singh,Aaryan Adhikari,Neeta Dhungana,Rajpal Yadav
Khandaani Shafakhana,2019,136,"Comedy, Drama",4,"1,141",Shilpi Dasgupta,Sonakshi Sinha,Badshah,Varun Sharma
Manikarnika The Queen of Jhansi,2019,148,"Action, Biography, Drama",6.4,"10,230",Radha Krishna Jagarlamudi,Kangana Ranaut,Kangana Ranaut,Danny Denzongpa
Khamoshi,2019,96,"Horror, Thriller",3.5,239,Chakri Toleti,Prabhu Deva,Tamannaah Bhatia,Bhoomika Chawla
Khamiyaza Journey of a Common Man,2019,130,"Action, Drama",4.6,20,Deekshit Kaul,Heramb Tripathi,Piyali Munshi,Alok Chaturvedi
Kesari,2019,150,"Action, Drama, History",7.4,"15,660",Anurag Singh,Akshay Kumar,Parineeti Chopra,Suvinder Vicky
Mardaani 2,2019,103,"Action, Crime, Drama",7.4,"8,198",Gopi Puthran,Sunny Hinduja,Rani Mukerji,Rajesh Sharma
Marjaavaan,2019,152,"Action, Drama, Romance",3.6,"3,146",Milap Zaveri,Riteish Deshmukh,Sidharth Malhotra,Tara Sutaria
Marne Bhi Do Yaaron,2019,130,Comedy,4.9,73,Kashmira Shah,Krishna Abhishek,Kashmira Shah,Rishaab Chauhaan
Marudhar Express,2019,106,"Drama, Romance",6.1,554,Vishal Mishra,Kunaal Roy Kapur,Tara-Alisha Berry,Rajesh Sharma
Kasaai,2019,96,Drama,6.6,29,Gajendra Shanker Shrotriya,Raman Atre,Ashok Banthia,Amit Bimrot
Kanpuriye,2019,103,Drama,6.3,"1,098",Ashish Aryan,Aparshakti Khurana,Divyendu Sharma,Vijay Raaz
Kandy Twist,2019,113,Drama,8.2,8,Shiva Rindani,Dinero Ash,Pari Chaudhary,Greg de Sousa
Kalank,2019,166,"Drama, Romance",3.6,"11,873",Abhishek Varman,Varun Dhawan,Alia Bhatt,Madhuri Dixit
Milan Talkies,2019,141,"Drama, Romance",5,321,Tigmanshu Dhulia,Ali Fazal,Sanjay Mishra,Ashutosh Rana
Housefull 4,2019,145,"Action, Comedy, Drama",3.5,"10,908",Farhad Samji,Akshay Kumar,Sam Nagar,Riteish Deshmukh
House Arrest,2019,104,Comedy,5.5,"1,486",Samit Basu,Shashanka Ghosh,Ali Fazal,Shriya Pilgaonkar
Dabangg 3,2019,160,"Action, Comedy, Crime",3,"15,817",Prabhu Deva,Salman Khan,Sudeep,Sonakshi Sinha
Saand Ki Aankh,2019,146,"Biography, Drama",7.7,"4,210",Tushar Hiranandani,Taapsee Pannu,Bhumi Pednekar,Prakash Jha
Rangeela Raja,2019,162,Comedy,2.3,215,Sikander Bharti,Govinda,Mishika Chourasia,Karan Aanand
Ek Ladki Ko Dekha Toh Aisa Laga,2019,120,"Comedy, Drama, Romance",5.5,"3,934",Shelly Chopra Dhar,Sonam Kapoor,Anil Kapoor,Rajkummar Rao
Remember Amnesia,2019,88,Comedy,7.7,29,Ravi Godse,Lisa Ann Walter,Tovah Feldshuh,Curtiss Cook
Rescue,2019,80,Drama,4.5,18,Nayan Pachori,Rahul Thulasiram,Sreejita De,Ishita Ganguly
Eiga Doraemon Nobita no getsumen tansaki,2019,111,"Animation, Action, Adventure",6.8,556,Jeong-beom Lee,Shinnosuke Yakuwa,Wasabi Mizuta,Sang Hyun Uhm
Eeb Allay Ooo,2019,98,"Comedy, Drama",7.4,"1,247",Prateek Vats,Shardul Bharadwaj,Mahender Nath,Nutan Sinha
Risknamaa,2019,123,Thriller,7,20,Aarun Nagar,Garima Agarwal,Anupama,Parveen Bansala
Roam Rome Mein,2019,107,Drama,7.8,50,Tannishtha Chatterjee,Nawazuddin Siddiqui,Tannishtha Chatterjee,Valentina Corti
Drive,2019,147,"Action, Crime, Thriller",3.5,"6,418",Tarun Mansukhani,Sushant Singh Rajput,Jacqueline Fernandez,Vikramjeet Virk
Dream Girl,2019,132,"Comedy, Romance",7,"12,276",Raaj Shaandilyaa,Ayushmann Khurrana,Nushrat Bharucha,Annu Kapoor
Romeo Akbar Walter,2019,141,"Action, Drama, Thriller",6.6,"5,120",Robbie Grewal,John Abraham,Jackie Shroff,Mouni Roy
Dombivli Return,2019,129,"Drama, Thriller",4.9,46,Mahendra Teredesai,Sandeep Kulkarni,Rajeshwari Sachdev,Amol Parashar
Dolly Kitty and Those Twinkling Stars,2019,126,"Comedy, Drama",5.4,"4,755",Alankrita Shrivastava,Konkona Sen Sharma,Bhumi Pednekar,Amol Parashar
SP Chauhan,2019,136,Drama,5.4,348,Manoj K. Jha,Jimmy Sheirgill,Yuvika Chaudhary,Yashpal Sharma
Dhuusar,2019,106,"Biography, Crime, Drama",8.9,47,Snehashish Mondal,Soumi Saha,Arpita Banerjee,Ritwik Bhowmik
Ekram,2019,94,Drama,5.8,21,Saheem Khan,Saheem Khan,Kunal Sharma,Vandana Chopra
Satellite Shankar,2019,135,"Action, Drama",6.3,928,Irfan Kamal,Sooraj Pancholi,Anil Reji,Megha Akash
Scotland,2019,120,Crime,5.3,406,Manish Vatssalya,Adam Saini,Khushboo Purohit,Chetan Pandit
Seasons Greeting,2019,47,Drama,6.5,32,Ram Kamal Mukherjee,Lillete Dubey,Shree Ghatak,Celina Jaitly
Devils Daughter,2019,89,"Comedy, Drama, Fantasy",2.6,172,Ghorban Mohammadpour,Hamid Farokhnezhad,Esha Gupta,Jackie Shroff
Devil Maupassants Le Diable,2019,79,Drama,5.2,16,Kshitij Sharma,Kshitij Sharma,Anoma Pabuwal,Deeya Dey
Devi Aur Hero,2019,117,Drama,7.8,15,Aditya Kripalani,Ahmareen Anjum,Chitrangada Chakraborty,Vibhawari Deshpande
Section 375,2019,124,"Crime, Drama, Mystery",8.1,"13,045",Ajay Bahl,Akshaye Khanna,Richa Chadha,Rahul Bhatt
Setters,2019,126,Thriller,5.3,246,Ashwini Chaudhary,Shreyas Talpade,Aftab Shivdasani,Sonnalli Seygall
Shaadi ke patasey,2019,90,Drama,6.9,7,Shahid Kazmi,Arjun Manhas,Tariq Imtyaz,Mushtaq Ali
De De Pyaar De,2019,135,"Comedy, Drama, Romance",6.6,"7,329",Akiv Ali,Ajay Devgn,Tabu,Rakul Preet Singh
Darkness Visible,2019,107,Thriller,5.6,329,Neil Biswas,Seema Biswas,Sayani Gupta,Sal?e Gunnarsd?tir
Darklight,2019,113,Drama,6.5,8,Mayur Hardas,Chandni,Raj Arjun,Ishan Chavan
Dank,2019,108,"Horror, Thriller",5.7,19,Pushkar Manohar,Sharad Ponkshe,Smita Shewale,Ananda Karekar
Sharmaji Ki Lag Gai,2019,122,Comedy,4.9,251,Manoj Sharma,Mugdha Godse,Brijendra Kala,Krishna Abhishek
Ramprasad Ki Tehrvi,2019,115,"Comedy, Drama",7.6,"3,574",Seema Bhargava,Manoj Pahwa,Deepika Amin,Ninad Kamat
Ekta,2019,99,"Horror, Mystery, Thriller",8,36,G. Suman Reddy,Salil Ankola,Navneet Kaur Dhillon,Avneet Kaur
Paharganj,2019,108,"Crime, Drama, Mystery",4.5,786,Rakesh Ranjan Kumar,Lorena Franco,Bijesh Jayarajan,Neet Chowdhary
Prassthanam,2019,141,"Action, Drama",5.9,"1,265",Deva Katta,Sanjay Dutt,Jackie Shroff,Ali Fazal
Pailwaan,2019,166,"Action, Drama, Sport",6.4,"1,671",S Krishna,Sunil Shetty,Sudeep,Sushant Singh
Pal Pal Dil Ke Paas,2019,154,"Action, Drama, Romance",4.6,"1,033",Sunny Deol,Karan Deol,Sahher Bambba,Kallirroi Tziafeta
Panipat,2019,165,"Action, Drama, History",5.3,"4,426",Ashutosh Gowariker,Arjun Kapoor,Sanjay Dutt,Kriti Sanon
Pati Patni Aur Woh,2019,126,"Comedy, Romance",5.7,"6,166",Mudassar Aziz,Kartik Aaryan,Bhumi Pednekar,Ananya Panday
Happi,2019,135,"Comedy, Drama",7.4,69,Bhavna Talwar,Pankaj Kapur,Supriya Pathak,Hrishitaa Bhatt
Penalty,2019,128,Sport,5.5,783,Shubham Singh,Lukram Smil,Kay Kay Menon,Shashank Arora
Hansa Ek Sanyog,2019,135,Drama,7.6,13,Santosh Kashyap,Dhiraj Verma,Master Ayushman,Istiyak Khan
Photograph,2019,110,"Drama, Romance",6.9,"4,505",Ritesh Batra,Nawazuddin Siddiqui,Sanya Malhotra,Sachin Khedekar
Phulmania,2019,120,Drama,5.4,16,Lal Vijay Shahdeo,Komal Singh,Ravi Bhatia,Pranab Chaudhary
Gunwali Dulhaniya,2019,114,"Comedy, Romance",3.5,20,Shantanu Anant Tambe,Kanchan Awasthi,Mayur Kumar,Elvis Chaturvedi
PM Narendra Modi,2019,136,"Biography, Drama",3.1,"5,954",Omung Kumar,Vivek Oberoi,Manoj Joshi,Darshan Kumaar
Gumnaami,2019,142,"Action, Drama, History",7.8,"1,695",Srijit Mukherji,Prasenjit Chatterjee,Anirban Bhattacharya,Tanushree Chakraborty
Gully Boy,2019,154,"Drama, Music, Romance",8,"33,901",Zoya Akhtar,Vijay Varma,Nakul Roshan Sahdev,Ranveer Singh
Pranaam,2019,120,"Action, Crime, Drama",4.3,273,Sanjiv Jaiswal,Rajeev Khandelwal,Atul Kulkarni,Abhimanyu Singh
Good Newwz,2019,134,Comedy,6.9,"15,644",Raj Mehta,Akshay Kumar,Kareena Kapoor,Diljit Dosanjh
Facebook Wala Pyar,2019,114,"Drama, Romance",5.3,27,Narayan k Sahu,Rahul Bagga,Akhilendra Mishra,Neeta Mohindra
Gone Kesh,2019,110,"Comedy, Drama",7,"1,222",Qasim Khallow,Shweta Tripathi,Alisha,Deepika Amin
God of gods,2019,90,Documentary,9.3,46,Venkatesh Bk,Tejaswini Manogna,Triyug Mantri,Raj Singh Verma
Ghost,2019,130,"Horror, Thriller",5,"1,288",Vikram Bhatt,Sanaya Irani,Shivam Bhaargava,Vikram Bhatt
Pyaar Karle,2019,116,Drama,3.6,5,Rudra Patla Venugopal,Chitram Basha,Udita Goswami,Faheem Ul Haq
Gho Gho Rani,2019,105,"History, Romance",9.4,47,Munni Pankaj,Nishi Neha Mishra,Pankaj Kamal,Akash Kumar
Raahgir,2019,85,Drama,7.4,27,Goutam Ghose,Adil Hussain,Tillotama Shome,Neeraj Kabi
Railway Raju,2019,120,"Crime, Thriller",7.5,6,Dinkar Rao,Anubhav Dixit,Monika Mishra,Lavanya Rao
Fraud Saiyaan,2019,109,"Comedy, Drama",4.3,677,Sourabh Shrivastava,Arshad Warsi,Saurabh Shukla,Flora Saini
Filter Coffee Liquor Cha,2019,80,Drama,6.9,9,Debarati Gupta,Nishan Nanaiah,Priyanka Sarkar,Usha Uthup
Fastey Fasaatey,2019,119,"Drama, Romance",4.6,119,Amit Agarwal,Bijay Anand,Ashok Awasthi,V.M. Badola
Rakkhosh,2019,128,Horror,4.7,162,Abhijit Kokate,Srivinay Salian,Sanjay Mishra,Priyanka Bose
Family of Thakurganj,2019,127,"Action, Drama",8.4,427,Manoj K. Jha,Prince Singh,Jimmy Sheirgill,Mahie Gill
Falsafa,2019,135,"Action, Drama, Thriller",7.1,16,Himanshu Yadav,Manit Joura,Geetanjali Singh,Ridhima Grover
Ram Ki Janmabhoomi,2019,122,Drama,6.6,92,Sanoj Mishra,Sanoj R. Mishra,Muntazir Ahmad,Manveer Choudhary
Umakant Pandey Purush Ya,2019,120,"Biography, Comedy, Drama",7,49,Ajeet Kumar,Rishi Bhummi,Amit Goel,Mayak Jain
Dosti Ke Side Effects,2019,130,Drama,3.3,46,Hadi ali Abar,Muntazir Ahmad,Vikrant Anand,Sai Ballal
Used,2019,57,"Drama, Thriller",7.1,20,Paresh Vinodray Savani,Manoj Chandila,Sudha Chandran,Prveshika Chauhan
72 Hours Martyr Who Never Died,2019,130,"Action, Biography, Drama",5.3,249,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin
Veergati,2019,61,Action,6,21,Raju Desai,Vishal Desai,Aditi Bhaskar,Nikhil Chavan
